epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.406,1.43658,5.26439,1.33511,0.42958,0.07277,0.05788,0.03956,1.30936,3.65788,1.25987,6.15184e-05,6.15184e-05,6.15184e-05
2,262.008,1.36422,4.18992,1.24877,0.42829,0.2222,0.18853,0.12664,1.30824,2.80514,1.27009,0.00011912,0.00011912,0.00011912
3,390.981,1.34126,3.54831,1.23412,0.48837,0.30443,0.29556,0.19251,1.27686,2.47551,1.25053,0.000172652,0.000172652,0.000172652
4,512.851,1.31381,3.13941,1.22448,0.48412,0.34879,0.35377,0.23612,1.25806,2.24724,1.25162,0.000166685,0.000166685,0.000166685
5,634.884,1.27616,2.80035,1.1986,0.58718,0.37397,0.45274,0.30483,1.22244,1.98586,1.20006,0.00016058,0.00016058,0.00016058
6,758.968,1.25499,2.55562,1.1924,0.6375,0.42952,0.49699,0.33933,1.20134,1.84983,1.18751,0.000154475,0.000154475,0.000154475
7,881.078,1.22485,2.37341,1.17049,0.56813,0.52166,0.52927,0.36033,1.20337,1.72282,1.19511,0.00014837,0.00014837,0.00014837
8,1002.24,1.22975,2.21909,1.16887,0.62766,0.51053,0.5469,0.37597,1.19309,1.6576,1.19073,0.000142265,0.000142265,0.000142265
9,1123.66,1.20068,2.05396,1.14893,0.66902,0.51383,0.57001,0.39291,1.17582,1.57711,1.17295,0.00013616,0.00013616,0.00013616
10,1245,1.16374,1.92234,1.13624,0.77406,0.50084,0.59218,0.41145,1.16906,1.55843,1.17217,0.000130055,0.000130055,0.000130055
11,1365.36,1.16145,1.82871,1.12674,0.7101,0.53598,0.60341,0.42086,1.15927,1.4782,1.16099,0.00012395,0.00012395,0.00012395
12,1485.48,1.15609,1.76303,1.12991,0.77893,0.53467,0.62199,0.43358,1.13929,1.42019,1.1556,0.000117845,0.000117845,0.000117845
13,1606.02,1.1245,1.67215,1.10947,0.75847,0.55084,0.63536,0.44828,1.11464,1.40075,1.12657,0.00011174,0.00011174,0.00011174
14,1727.35,1.12372,1.62955,1.10921,0.78854,0.5354,0.62755,0.44214,1.13419,1.40007,1.14048,0.000105635,0.000105635,0.000105635
15,1848.63,1.12538,1.57368,1.10523,0.78606,0.57074,0.64409,0.45556,1.10365,1.33005,1.12312,9.953e-05,9.953e-05,9.953e-05
16,1970.37,1.09961,1.50257,1.0934,0.80079,0.56707,0.64894,0.46055,1.10241,1.2943,1.12086,9.3425e-05,9.3425e-05,9.3425e-05
17,2090.98,1.08436,1.47023,1.08676,0.77123,0.5886,0.66396,0.46818,1.10361,1.29396,1.12035,8.732e-05,8.732e-05,8.732e-05
18,2212.78,1.08837,1.437,1.08857,0.80311,0.58571,0.66942,0.47434,1.09305,1.26487,1.1223,8.1215e-05,8.1215e-05,8.1215e-05
19,2332.68,1.08014,1.39586,1.07858,0.78084,0.60358,0.67382,0.47612,1.08696,1.23914,1.11407,7.511e-05,7.511e-05,7.511e-05
20,2453.27,1.0648,1.35279,1.07568,0.82383,0.60117,0.68413,0.48832,1.086,1.20848,1.10703,6.9005e-05,6.9005e-05,6.9005e-05
21,2568.11,1.03979,1.29775,1.07109,0.79917,0.59279,0.66624,0.47094,1.09392,1.24347,1.11021,6.29e-05,6.29e-05,6.29e-05
22,2684.14,1.00868,1.23158,1.05368,0.81614,0.62907,0.6936,0.49595,1.07497,1.16599,1.10415,5.6795e-05,5.6795e-05,5.6795e-05
23,2803.07,1.01021,1.19449,1.05714,0.79027,0.62305,0.68177,0.49075,1.06311,1.17313,1.09736,5.069e-05,5.069e-05,5.069e-05
24,2917.94,0.99636,1.15669,1.04603,0.8355,0.61724,0.69342,0.4902,1.07808,1.17401,1.0992,4.4585e-05,4.4585e-05,4.4585e-05
25,3031.71,0.98282,1.12432,1.04115,0.8053,0.61927,0.69375,0.49152,1.07056,1.16653,1.0949,3.848e-05,3.848e-05,3.848e-05
26,3146.47,0.97819,1.09466,1.03372,0.80698,0.63273,0.69254,0.49765,1.06356,1.14048,1.0939,3.2375e-05,3.2375e-05,3.2375e-05
27,3260.6,0.96702,1.08206,1.03118,0.82894,0.61874,0.69399,0.49395,1.06642,1.14626,1.0951,2.627e-05,2.627e-05,2.627e-05
28,3378.84,0.95662,1.06842,1.02693,0.81361,0.63999,0.70246,0.50135,1.05824,1.12316,1.09308,2.0165e-05,2.0165e-05,2.0165e-05
29,3498.9,0.95271,1.04961,1.02234,0.85798,0.60772,0.70208,0.50359,1.05456,1.12179,1.08614,1.406e-05,1.406e-05,1.406e-05
30,3610.69,0.95074,1.05007,1.01934,0.84464,0.61923,0.70386,0.50518,1.05534,1.11237,1.08566,7.955e-06,7.955e-06,7.955e-06
